test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
3613358829,87146841,"samsung/zerofltezt/zerofltechn:5.0.2/LRX22G/G9208ZTU1AOD4:user/release-keys","2018-02-01 00:00:18","39.12.10.xxx",185300,33757,20,"Taoyuan","Taiwan","TW",25.0764,121.2239,"SEEDNET","Taiwan","TW","Taoyuan City","TAO","Zhongli District","24.96430","121.21336",7.78211,"Far EasTone Telecommunication Co.","1","Far EasTone","466","1",15,15,"samsung","zerofltechn","samsungexynos7420","LRX22G","samsung","SM-G9208","zerofltezt","","75646989",1,"Taoyuan, Taoyuan District, Taoyuan City, Taiwan","Taoyuan","locality","Taiwan","TW","Taoyuan City","Taoyuan District","南門里","320"
3613358831,168504323,"xiaomi/mido/mido:7.0/NRD90M/V9.2.1.0.NCFMIEK:user/release-keys","2018-02-01 00:00:18","49.34.185.xxx",4144,3122,55,"Ahmedabad","India","IN",23.0225,72.5714,"BlazeNet Ltd.","India","IN","Gujarat","GJ","Mandal","23.35657","72.06410",39.6782,"Jio","1","Jio 4G","405","857",15,15,"xiaomi","mido","qcom","NRD90M","Xiaomi","Redmi Note 4","mido","","2276881",1,"Ahmedabad, Gujarat, India","Ahmedabad","administrative_area_level_2","India","IN","Gujarat","Ahmedabad","","382120"
3613358833,129656631,"Xiaomi/hydrogen/hydrogen:7.0/NRD90M/V9.1.2.0.NBCCNEI:user/release-keys","2018-02-01 00:00:18","209.58.168.xxx",7509,6613,56,"Bekasi","Indonesia","ID",-6.2443,107.1479,"PT. Pasifik Satelit Nusantara","Indonesia","ID","West Java","JB","Jatikarya","-6.38754","107.21603",10.9591,"Leaseweb Asia Pacific pte.","0","INDOSAT","510","1",15,15,"Xiaomi","hydrogen","qcom","NRD90M","Xiaomi","MI MAX","hydrogen","","719874",1,"Bekasi, Bekasi, West Java, Indonesia","Bekasi","locality","Indonesia","ID","West Java","Bekasi","","17530"
3613358834,192993086,"samsung/star2qltezh/star2qltechn:8.0.0/R16NW/G9650ZHU1ARAN:user/release-keys","2018-02-01 00:00:18","182.239.86.xxx",237241,34862,13,"Kwai Chung","Hong Kong","HK",22.3668,114.1302,"CSL","Hong Kong","HK","Central And Western District","HCW","Hong Kong","22.37072","114.13286",0.319919,"China Mobile","1","CMHK","454","12",15,15,"samsung","star2qltechn","qcom","R16NW","samsung","SM-G9650","star2qltezh","","52869202",1,"Hong Kong, Hong Kong","Hong Kong","locality","Hong Kong","HK","","","",""
3613358844,181166554,"Verizon/heroqltevzw/heroqltevzw:7.0/NRD90M/G930VVRU4BQG1:user/release-keys","2018-02-01 00:00:18","174.255.132.xxx",49360,20434,58,"Arlington, TN","United States","US",35.2962,-89.6615,"Verizon","United States","US","Tennessee","TN","Union City","36.41651","-89.06219",84.4619,"VERIZON WIRELESS","1","Verizon Wireless","311","480",15,15,"Verizon","heroqltevzw","qcom","NRD90M","samsung","SM-G930V","heroqltevzw","568","",1,"Union City, TN 38261, USA","Union City","locality","United States","US","Tennessee","Obion County","","38261"
3613358849,52508461,"OPPO/X9006/X9006:4.4.2/KVT49L/1414216675:user/release-keys","2018-02-01 00:00:18","188.166.234.xxx",3362,2505,138,"Bangalore","India","IN",12.9833,77.5833,"ACT Fibernet","Netherlands","NL","North Holland","NH","Amsterdam","52.35000","4.91670",4786.12,"DigitalOcean","0","TRUE-H","520","0",17,17,"OPPO","X9006","qcom","KVT49L","OPPO","X9006","X9006","","33136428",2,"Amsterdam, Netherlands","Amsterdam","locality","Netherlands","NL","North Holland","Government of Amsterdam","","1097"
3613358852,181126668,"samsung/j7xeltexx/j7xelte:7.0/NRD90M/J710FXXU3BQI7:user/release-keys","2018-02-01 00:00:18","80.214.115.xxx",38415,3871,41,"St Helier","Jersey","JE",49.1805,-2.1032,"Sure Telecom","France","FR","Brittany","BRE","Plerin","48.54784","-2.78879",53.7423,"BOUYGUES TELECOM","1","Bouygues Telecom","208","20",15,15,"samsung","j7xelte","samsungexynos7870","NRD90M","samsung","SM-J710F","j7xeltexx","","138446849",1,"Plérin, France","Plérin","locality","France","FR","Brittany","Cotes-d'Armor","","22190"
3613358853,193633541,"HUAWEI/WAS-LX1/HWWAS-H:7.0/HUAWEIWAS-LX1/C432B194:user/release-keys","2018-02-01 00:00:18","185.86.236.xxx",21294,16628,30,"Skopje","Macedonia","MK",42.0000,21.4333,"Neotel DOO","Macedonia","MK","Municipality of Prilep","62","Prilep","41.35050","21.54826",45.3171,"One Macedonia","1","Vip MK ","294","3",15,15,"HUAWEI","HWWAS-H","hi6250","HUAWEIWAS-LX1","HUAWEI","WAS-LX1","WAS-LX1","","418563",1,"Prilep, Macedonia (FYROM)","Prilep","locality","Macedonia","MK","Municipality of Prilep","","",""
3613358857,194259204,"samsung/j7eltexx/j7elte:6.0.1/MMB29K/J700FXXU4BQF3:user/release-keys","2018-02-01 00:00:19","128.199.164.xxx",638,685,78,"Bangkok","Thailand","TH",13.7500,100.4833,"3BB","Thailand","TH","Bangkok","10","Bangkok","13.68996","100.50871",4.49041,"DigitalOcean","0","DTAC","520","18",15,15,"samsung","j7elte","samsungexynos7580","MMB29K","samsung","SM-J700F","j7eltexx","","64654082",1,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10120"
3613358859,184731209,"samsung/j7popelteue/j7popelteue:7.0/NRD90M/J727UUEU1AQF2:user/release-keys","2018-02-01 00:00:19","209.152.83.xxx",25371,12240,19,"Eldridge, IA","United States","US",41.6581,-90.5846,"CS Technologies","United States","US","Iowa","IA","Marion","42.04140","-91.54556",56.1645,"Aureon Network Services","1","iWireless","310","770",15,15,"samsung","j7popelteue","samsungexynos7870","NRD90M","samsung","SM-J727U","j7popelteue","","48666124",1,"Marion, IA, USA","Marion","locality","United States","US","Iowa","Linn County","Marion","52302"
3613358861,128258017,"samsung/hero2ltexx/hero2lte:7.0/NRD90M/G935FXXS1DRA6:user/release-keys","2018-02-01 00:00:19","188.206.75.xxx",160289,25034,28,"Dusseldorf","Germany","DE",51.2277,6.7735,"ServerRISE","Netherlands","NL","Limburg","LI","Kerkrade","50.86291","6.03337",40.8978,"Kpn Mobile The Netherlands B.v","1","KPN","204","8",15,15,"samsung","hero2lte","samsungexynos8890","NRD90M","samsung","SM-G935F","hero2ltexx","","1866529",1,"Kerkrade, Netherlands","Kerkrade","locality","Netherlands","NL","Limburg","Kerkrade","","6466"
3613358867,138678788,"samsung/a8eltejv/a8elte:6.0.1/MMB29K/A800FXXS1BQC3:user/release-keys","2018-02-01 00:00:19","114.125.199.xxx",32640,28097,73,"Balikpapan","Indonesia","ID",-1.2635,116.8279,"PT. Telekomunikasi Indonesia","Indonesia","ID","Gorontalo","GO","Limboto","0.62191","122.97794",444.917,"Telkomsel","1","TELKOMSEL","510","10",15,15,"samsung","a8elte","universal5430","MMB29K","samsung","SM-A800F","a8eltejv","","97813771",1,"Hunggaluwa, Limboto, Gorontalo, Gorontalo, Indonesia","Hunggaluwa","administrative_area_level_4","Indonesia","ID","Gorontalo","Gorontalo","Limboto, Hunggaluwa","96181"
