age,current club,current league,foot,height,name,nationality,position,season,assists, games,goals,minutes
26,Zenit St. Petersburg,Premier Liga,right,183,Dmitri Poloz,Russia,W,2012-13,1,22,3,1057
25,Zenit St. Petersburg,Premier Liga,both,180,Emiliano Rigoni,Argentina  Italy,W,2012-13,,,,
22,Zenit St. Petersburg,Premier Liga,both,179,SebastiÄn Driussi,Argentina  Italy,CF,2012-13,,,,
26,Zenit St. Petersburg,Premier Liga,right,183,Aleksandr Kokorin,Russia,CF,2012-13,5,26,13,2287
26,Zenit St. Petersburg,Premier Liga,right,188,Anton Zabolotnyi,Russia,CF,2012-13,0,5,1,171
26,Spartak Moscow,Premier Liga,both,174,Quincy Promes,Netherlands  Suriname,W,2012-13,11,42,17,3678
23,Spartak Moscow,Premier Liga,right,175,Pedro Rocha,Brazil,W,2012-13,,,,
27,Spartak Moscow,Premier Liga,left,178,Lorenzo Melgarejo,Paraguay,W,2012-13,5,40,2,3588
21,Spartak 2 Moscow,Premier Liga,left,180,Zelimkhan Bakaev,Russia,W,2012-13,,,,
30,Spartak Moscow,Premier Liga,right,183,Luiz Adriano,Brazil,CF,2012-13,9,32,15,2455
27,Spartak Moscow,Premier Liga,left,184,ZÄ˜ LuÄßs,Cape Verde,CF,2012-13,1,35,8,1603
25,CSKA Moscow,Premier Liga,both,170,Ahmed Musa,Nigeria,CF,2012-13,7,35,15,3029
19,CSKA Moscow,Premier Liga,right,180,Fedor Chalov,Russia,CF,2012-13,,,,
20,CSKA Moscow,Premier Liga,right,181,Timur Zhamaletdinov,Russia,CF,2012-13,,,,
23,FK Krasnodar,Premier Liga,right,175,Wanderson,Brazil  Belgium,W,2012-13,1,6,0,199
29,FK Krasnodar,Premier Liga,left,166,JoÄ?ozinho,Russia  Brazil,W,2012-13,16,31,4,2740
21,FK Krasnodar,Premier Liga,right,185,Andrei Ivan,Romania,W,2012-13,,,,
30,FK Krasnodar,Premier Liga,right,174,Ricardo Laborde,Colombia,W,2012-13,9,29,7,2275
18,FK Krasnodar,Premier Liga,left,170,Magomed-Shapi Suleymanov,Russia,W,2012-13,,,,
28,FK Krasnodar,Premier Liga,right,187,Fedor Smolov,Russia,CF,2012-13,0,26,1,1023
19,FK Krasnodar,Premier Liga,right,180,Ivan Ignatjev,Russia,CF,2012-13,,,,
31,Lokomotiv Moscow,Premier Liga,right,174,Alan Kasaev,Russia,W,2012-13,5,31,3,1564
33,Lokomotiv Moscow,Premier Liga,right,178,Jefferson FarfÄn,Peru,W,2012-13,10,35,7,2828
22,Lokomotiv Moscow,Premier Liga,right,169,Arshak Koryan,Russia  Armenia,W,2012-13,,,,
30,Lokomotiv Moscow,Premier Liga,both,190,Ä?der,Portugal  Guinea-Bissau,CF,2012-13,5,31,16,2413
32,Lokomotiv Moscow,Premier Liga,both,180,Ari,Brazil,CF,2012-13,8,37,6,2621
38,Rubin Kazan,Premier Liga,right,168,GÄìkdeniz Karadeniz,Turkey,W,2012-13,9,42,7,3319
21,Rubin Kazan,Premier Liga,right,184,Rifat Zhemaletdinov,Russia,W,2012-13,,,,
23,Rubin Kazan,Premier Liga,both,186,Sardar Azmoun,Iran,CF,2012-13,0,0,0,0
19,Akhmat Grozny,Premier Liga,right,178,LÄ˜o JabÄ,Brazil,W,2012-13,,,,
26,Akhmat Grozny,Premier Liga,right,174,Bernard Berisha,Kosovo  Albania,W,2012-13,2,21,3,1791
25,Akhmat Grozny,Premier Liga,right,178,Magomed Mitrishev,Russia,W,2012-13,0,20,2,470
26,Akhmat Grozny,Premier Liga,right,187,Odise Roshi,Albania,W,2012-13,1,32,2,891
23,Akhmat Grozny,Premier Liga,right,167,Khalid Kadyrov,Russia,W,2012-13,0,0,0,0
27,Akhmat Grozny,Premier Liga,right,188,Bekim Balaj,Albania,CF,2012-13,2,19,4,1074
25,Akhmat Grozny,Premier Liga,right,187,Ablaye Mbengue,Senegal,CF,2012-13,,,,
28,Akhmat Grozny,Premier Liga,right,182,Zaur Sadaev,Russia,CF,2012-13,0,13,1,369
24,Akhmat Grozny,Premier Liga,right,173,Apti Akh'yadov,Russia,CF,2012-13,,,,
26,Dinamo Moscow,Premier Liga,both,183,Fedor Chernykh,Lithuania  Russia,W,2012-13,5,35,4,3100
18,Dinamo Moscow II,Premier Liga,right,188,Vyacheslav Grulev,Russia,W,2012-13,,,,
20,Dinamo Moscow,Premier Liga,right,186,Anton Terekhov,Russia,W,2012-13,,,,
23,Dinamo Moscow,Premier Liga,right,187,Evgeni Markov,Russia,CF,2012-13,,,,
31,Dinamo Moscow,Premier Liga,left,187,Evgeni Lutsenko,Russia,CF,2012-13,4,32,9,2624
21,Dinamo Moscow,Premier Liga,left,186,Nikolay Obolskiy,Russia,CF,2012-13,,,,
25,Arsenal Tula,Premier Liga,right,180,Evans Kangwa,Zambia,W,2012-13,,,,
29,Arsenal Tula,Premier Liga,right,196,Artem Dzyuba,Russia,CF,2012-13,7,32,4,1773
23,Arsenal Tula,Premier Liga,both,185,Luka Djordjevic,Montenegro,CF,2012-13,0,10,0,260
25,Arsenal Tula,Premier Liga,right,194,Federico Rasic,Argentina  Croatia,CF,2012-13,,,,
23,Arsenal Tula II,Premier Liga,right,191,Aslanbek Sikoev,Russia,CF,2012-13,,,,
33,Arsenal Tula,Premier Liga,right,180,Igor Shevchenko,Russia,CF,2012-13,1,32,4,1986
27,FK Ufa,Premier Liga,right,173,Sly,Nigeria,W,2012-13,3,28,9,2162
30,FK Ufa,Premier Liga,right,176,Dmitri Sysuev,Russia,W,2012-13,7,28,9,2300
28,FK Ufa,Premier Liga,right,185,Kehinde Fatai,Nigeria  Romania,CF,2012-13,6,37,16,2745
25,FK Ufa,Premier Liga,right,183,Vyacheslav Krotov,Russia,CF,2012-13,0,3,1,193
18,FK Ufa,Premier Liga,right,178,Yerkebulan Seydakhmet,Kazakhstan,CF,2012-13,,,,
21,FK Rostov,Premier Liga,right,176,Aleksandr Zuev,Russia  Kazakhstan,W,2012-13,,,,
29,FK Rostov,Premier Liga,right,177,Aleksey Ionov,Russia,W,2012-13,12,32,2,2607
27,FK Rostov,Premier Liga,right,187,BjÄìrn Sigurdarson,Iceland,CF,2012-13,2,41,6,2535
22,FK Rostov,Premier Liga,right,185,Eldor Shomurodov,Uzbekistan,CF,2012-13,,,,
29,FK Rostov,Premier Liga,right,183,Vladimir Dyadyun,Russia,CF,2012-13,2,33,10,1532
30,Ural Yekaterinburg,Premier Liga,left,175,Nikolay Dimitrov,Bulgaria,W,2012-13,4,21,7,1625
27,Ural Yekaterinburg,Premier Liga,both,182,Dmytro Khomchenovsky,Ukraine,W,2012-13,2,15,2,1131
23,Ural Yekaterinburg,Premier Liga,right,175,Nikita Glushkov,Russia,W,2012-13,,,,
24,Ural Yekaterinburg,Premier Liga,both,181,Giorgi Chanturia,Georgia,W,2012-13,0,16,2,911
31,Ural Yekaterinburg,Premier Liga,left,177,Edgar Manucharyan,Armenia,W,2012-13,0,11,6,555
25,Ural Yekaterinburg,Premier Liga,right,187,Vladimir Iljin,Russia,CF,2012-13,,,,
29,Ural Yekaterinburg,Premier Liga,right,191,Igor Portnyagin,Russia,CF,2012-13,6,27,18,1909
23,Amkar Perm,Premier Liga,left,189,Aaron Olanare,Nigeria,CF,2012-13,2,27,7,1852
29,Amkar Perm,Premier Liga,right,186,Darko Bodul,Austria  Croatia,CF,2012-13,8,28,4,1861
22,Amkar Perm,Premier Liga,both,185,Aleksey Gasilin,Russia,CF,2012-13,0,1,0,44
26,Anzhi Makhachkala,Premier Liga,right,180,Pavel Yakovlev,Russia,W,2012-13,4,17,2,820
29,Anzhi Makhachkala,Premier Liga,left,185,Ivan Markelov,Russia,W,2012-13,,,,
27,Anzhi Makhachkala,Premier Liga,right,181,Arsen Khubulov,Russia,W,2012-13,1,14,2,755
26,Anzhi Makhachkala,Premier Liga,right,196,Pylyp Budkivsky,Ukraine,CF,2012-13,0,0,0,0
25,Anzhi Makhachkala,Premier Liga,right,188,Juan Lescano,Argentina,CF,2012-13,,,,
29,Anzhi Makhachkala,Premier Liga,both,185,Aleksandr Prudnikov,Russia,CF,2012-13,0,7,1,359
23,Anzhi Makhachkala,Premier Liga,right,194,Amur Kalmykov,Russia,CF,2012-13,,,,
21,Anzhi Makhachkala,Premier Liga,right,187,Pavel Dolgov,Russia,CF,2012-13,,,,
28,FK Tosno,Premier Liga,both,178,Ricardinho,Brazil,W,2012-13,2,28,7,2214
25,FK Tosno,Premier Liga,right,182,Nikola Trujic,Serbia,W,2012-13,0,28,4,1759
24,FK Tosno,Premier Liga,right,180,Reziuan Mirzov,Russia,W,2012-13,0,1,0,20
21,FK Tosno,Premier Liga,right,175,Aleksandr Makarov,Russia,W,2012-13,,,,
34,FK Tosno,Premier Liga,left,188,Pavel Pogrebnyak,Russia,CF,2012-13,0,32,8,2257
26,SKA Khabarovsk,Premier Liga,both,177,Alejandro Barbaro,Argentina  Italy,W,2012-13,0,1,0,90
24,SKA Khabarovsk,Premier Liga,right,172,Konstantin Savichev,Russia,W,2012-13,0,2,0,117
28,SKA Khabarovsk,Premier Liga,right,166,Vladislav Nikiforov,Russia,W,2012-13,0,16,0,538
25,SKA Khabarovsk,Premier Liga,right,173,Dmitri Kabutov,Russia,W,2012-13,3,31,2,2040
30,SKA Khabarovsk,Premier Liga,right,175,Maksim Kazankov,Russia  Turkmenistan,W,2012-13,,,,
26,SKA Khabarovsk,Premier Liga,right,184,Maksim Kanunnikov,Russia,CF,2012-13,2,25,3,1406
28,SKA Khabarovsk,Premier Liga,both,184,Miroslav Markovic,Serbia,CF,2012-13,2,23,3,1438
27,SKA Khabarovsk,Premier Liga,right,187,Lukasz Sekulski,Poland,CF,2012-13,0,35,12,1564
21,SKA Khabarovsk II,Premier Liga,right,169,Aleksandr Maksimenko,Russia,CF,2012-13,,,,
20,FC Barcelona,LaLiga,both,178,Ousmane DembÄ˜lÄ˜,France  Mauritania,W,2012-13,,,,
30,FC Barcelona,LaLiga,left,170,Lionel Messi,Argentina  Spain,W,2012-13,18,50,60,4070
28,FC Barcelona,LaLiga,right,177,Aleix Vidal,Spain,W,2012-13,9,45,7,3179
31,FC Barcelona,LaLiga,right,182,Luis SuÄrez,Uruguay  Italy,CF,2012-13,13,44,30,3720
24,FC Barcelona,LaLiga,right,175,Paco AlcÄcer,Spain,CF,2012-13,1,24,4,855
33,Real Madrid,LaLiga,both,187,Cristiano Ronaldo,Portugal,W,2012-13,13,55,55,4631
22,Real Madrid,LaLiga,left,182,Marco Asensio,Spain  Netherlands,W,2012-13,,,,
28,Real Madrid,LaLiga,left,185,Gareth Bale,Wales,W,2012-13,15,44,26,3891
26,Real Madrid,LaLiga,right,173,Lucas VÄzquez,Spain,W,2012-13,3,26,3,795
30,Real Madrid,LaLiga,both,185,Karim Benzema,France  Algeria,CF,2012-13,21,50,21,2881
20,Real Madrid,LaLiga,right,182,Borja Mayoral,Spain,CF,2012-13,,,,
28,AtlÄ˜tico Madrid,LaLiga,right,184,Vitolo,Spain,W,2012-13,6,44,15,3769
23,AtlÄ˜tico Madrid,LaLiga,right,172,ÄÅngel Correa,Argentina  Spain,W,2012-13,3,12,4,798
26,AtlÄ˜tico Madrid,LaLiga,left,175,Antoine Griezmann,France,CF,2012-13,5,35,11,2923
29,AtlÄ˜tico Madrid,LaLiga,right,186,Diego Costa,Spain  Brazil,CF,2012-13,13,44,20,3054
30,AtlÄ˜tico Madrid,LaLiga,right,172,KÄ˜vin Gameiro,France,CF,2012-13,3,32,9,1168
33,AtlÄ˜tico Madrid,LaLiga,right,186,Fernando Torres,Spain,CF,2012-13,11,64,22,4653
21,Valencia CF,LaLiga,right,179,GonÄ‰alo Guedes,Portugal,W,2012-13,0,0,0,0
22,Valencia CF,LaLiga,right,178,Andreas Pereira,Brazil  Belgium,W,2012-13,0,1,0,6
18,Valencia CF,LaLiga,right,184,FerrÄn Torres,Spain,W,2012-13,,,,
26,Valencia CF,LaLiga,left,186,Simone Zaza,Italy,CF,2012-13,4,36,18,2847
27,Valencia CF,LaLiga,left,182,Rodrigo,Spain  Brazil,CF,2012-13,5,39,11,2140
24,Valencia CF,LaLiga,right,173,Luciano Vietto,Argentina  Italy,CF,2012-13,4,33,13,2647
22,Valencia CF,LaLiga,right,181,Santi Mina,Spain,CF,2012-13,0,1,0,31
23,Sevilla FC,LaLiga,right,188,JoaquÄßn Correa,Argentina  Italy,W,2012-13,0,8,0,395
31,Sevilla FC,LaLiga,right,175,Nolito,Spain,W,2012-13,3,32,4,2122
25,Sevilla FC,LaLiga,left,178,Pablo Sarabia,Spain,W,2012-13,1,16,2,629
32,Sevilla FC,LaLiga,right,170,JesÄ¶s Navas,Spain,W,2012-13,10,44,1,3924
27,Sevilla FC,LaLiga,right,170,Wissam Ben Yedder,France  Tunisia,CF,2012-13,6,37,15,2578
26,Sevilla FC,LaLiga,right,179,Luis Muriel,Colombia,CF,2012-13,3,23,11,1428
22,Sevilla FC,LaLiga,right,175,Sandro RamÄßrez,Spain,CF,2012-13,,,,
27,Villarreal CF,LaLiga,both,182,Roberto Soriano,Italy  Germany,W,2012-13,2,25,0,1018
27,Villarreal CF,LaLiga,left,179,Denis Cheryshev,Russia  Spain,W,2012-13,8,35,11,2608
23,Villarreal CF,LaLiga,left,182,Samu Castillejo,Spain,W,2012-13,,,,
22,Villarreal CF,LaLiga,left,184,Daniel Raba,Spain,W,2012-13,,,,
26,Villarreal CF,LaLiga,right,171,Salem Al-Dawsari,Saudi Arabia,W,2012-13,1,16,4,1155
31,Villarreal CF,LaLiga,right,181,Carlos Bacca,Colombia,CF,2012-13,13,44,28,3629
26,Villarreal CF,LaLiga,right,173,Nicola Sansone,Italy  Germany,CF,2012-13,3,26,6,1564
20,Villarreal CF,LaLiga,right,185,Enes Ä?nal,Turkey,CF,2012-13,,,,
23,Villarreal CF,LaLiga,right,180,Roger MartÄßnez,Colombia,CF,2012-13,0,2,0,116
25,Athletic Bilbao,LaLiga,right,169,Iker Muniain,Spain,W,2012-13,3,43,2,2868
20,Athletic Bilbao,LaLiga,left,179,IÄ§igo CÄÅrdoba,Spain,W,2012-13,,,,
26,Athletic Bilbao,LaLiga,right,187,Sabin Merino,Spain,W,2012-13,,,,
23,Athletic Bilbao,LaLiga,right,186,IÄ§aki Williams,Spain,W,2012-13,,,,
30,Athletic Bilbao,LaLiga,right,179,Markel Susaeta,Spain,W,2012-13,9,46,11,3812
37,Athletic Bilbao,LaLiga,right,182,Aritz Aduriz,Spain,CF,2012-13,6,44,18,2982
32,Athletic Bilbao,LaLiga,right,184,Kike Sola,Spain,CF,2012-13,2,31,9,2061
20,Real Sociedad,LaLiga,left,181,Mikel Oyarzabal,Spain,W,2012-13,,,,
23,Real Sociedad,LaLiga,left,186,Adnan Januzaj,Belgium  Kosovo,W,2012-13,5,19,1,1523
24,Real Sociedad,LaLiga,right,172,Juanmi,Spain,W,2012-13,1,26,1,1284
21,Real Sociedad,LaLiga,right,179,David Concha,Spain,W,2012-13,,,,
26,Real Sociedad,LaLiga,right,189,Willian JosÄ˜,Brazil,CF,2012-13,0,26,5,1618
22,Real Sociedad,LaLiga,right,180,Jon Bautista,Spain,CF,2012-13,,,,
31,Real Sociedad,LaLiga,right,187,Imanol Agirretxe,Spain,CF,2012-13,6,35,15,2152
23,Celta de Vigo,LaLiga,right,171,Pione Sisto,Denmark  Uganda,W,2012-13,0,10,0,246
20,Celta de Vigo,LaLiga,left,169,Emre Mor,Turkey  Denmark,W,2012-13,,,,
30,Celta de Vigo,LaLiga,left,176,Iago Aspas,Spain,W,2012-13,7,37,12,3031
21,Celta de Vigo,LaLiga,right,186,Maximiliano GÄÅmez,Uruguay,CF,2012-13,,,,
22,Celta de Vigo,LaLiga,right,183,Lucas BoyÄ˜,Argentina  Italy,CF,2012-13,,,,
26,Real Betis BalompiÄ˜,LaLiga,both,178,Cristian Tello,Spain,W,2012-13,6,34,8,1631
25,Real Betis BalompiÄ˜,LaLiga,left,178,Joel Campbell,Costa Rica,W,2012-13,3,33,2,1889
36,Real Betis BalompiÄ˜,LaLiga,right,181,JoaquÄßn,Spain,W,2012-13,10,45,8,3318
22,Real Betis BalompiÄ˜,LaLiga,right,175,Francis Guerrero,Spain,W,2012-13,,,,
22,Real Betis BalompiÄ˜,LaLiga,right,181,Antonio Sanabria,Paraguay,CF,2012-13,,,,
29,Real Betis BalompiÄ˜,LaLiga,right,176,Sergio LeÄÅn,Spain,CF,2012-13,0,6,5,417
36,Real Betis BalompiÄ˜,LaLiga,right,168,RubÄ˜n Castro,Spain,CF,2012-13,8,40,21,3309
24,Real Betis BalompiÄ˜,LaLiga,,185,Loren MorÄÅn,Spain,CF,2012-13,,,,
28,RCD Espanyol Barcelona,LaLiga,both,163,Pablo Piatti,Argentina  Italy,W,2012-13,4,19,1,1081
25,RCD Espanyol Barcelona,LaLiga,left,180,Gerard Moreno,Spain,CF,2012-13,2,17,3,900
25,RCD Espanyol Barcelona,LaLiga,right,181,Leo BaptistÄ?o,Brazil  Spain,CF,2012-13,7,28,7,2178
34,RCD Espanyol Barcelona,LaLiga,right,174,Sergio GarcÄßa,Spain,CF,2012-13,5,28,7,2401
24,RCD Espanyol Barcelona,LaLiga,right,187,Jairo Morillas,Spain,CF,2012-13,0,1,0,45
22,Deportivo de La CoruÄ§a,LaLiga,right,168,Zakaria Bakkali,Belgium  Morocco,W,2012-13,1,25,5,1884
25,Deportivo de La CoruÄ§a,LaLiga,right,177,Borja Valle,Spain,W,2012-13,0,6,0,271
25,Deportivo de La CoruÄ§a,LaLiga,left,170,Federico Cartabia,Argentina  Spain,W,2012-13,0,15,2,914
25,Deportivo de La CoruÄ§a,LaLiga,left,171,Carles Gil,Spain,W,2012-13,0,31,4,2084
29,Deportivo de La CoruÄ§a,LaLiga,left,180,Lucas PÄ˜rez,Spain,CF,2012-13,3,18,8,1605
24,Deportivo de La CoruÄ§a,LaLiga,right,180,Florin Andone,Romania  Spain,CF,2012-13,,,,
30,Deportivo de La CoruÄ§a,LaLiga,right,183,AdriÄn LÄÅpez,Spain,CF,2012-13,5,46,4,2528
22,MÄlaga CF,LaLiga,right,182,Isaac Success,Nigeria,W,2012-13,,,,
25,MÄlaga CF,LaLiga,left,176,Maxime Lestienne,Belgium,W,2012-13,13,47,18,3258
33,MÄlaga CF,LaLiga,left,178,Chory Castro,Uruguay  Spain,W,2012-13,4,33,6,1500
26,MÄlaga CF,LaLiga,right,172,Keko,Spain,W,2012-13,0,5,1,193
27,MÄlaga CF,LaLiga,right,177,Samu GarcÄßa,Spain,W,2012-13,,,,
24,MÄlaga CF,LaLiga,right,177,Diego RolÄn,Uruguay,CF,2012-13,3,25,8,1598
25,MÄlaga CF,LaLiga,right,186,Borja BastÄÅn,Spain,CF,2012-13,0,32,9,1801
29,Mé?é?laga CF,LaLiga,right,181,Brown Ideye,Nigeria,CF,2012-13,3,40,21,3222
20,MÄlaga CF,LaLiga,right,185,Adalberto PeÄ§aranda,Venezuela,CF,2012-13,,,,
20,MÄlaga CF,LaLiga,both,189,Youssef En-Nesyri,Morocco,CF,2012-13,,,,
31,Girona FC,LaLiga,right,184,Cristhian Stuani,Uruguay  Italy,CF,2012-13,4,34,7,2252
24,Girona FC,LaLiga,right,183,Anthony Lozano,Honduras,CF,2012-13,0,17,1,1084
23,Girona FC,LaLiga,,190,Michael Olunga,Kenya,CF,2012-13,0,2,0,87
29,SD Eibar,LaLiga,right,170,Takashi Inui,Japan,W,2012-13,8,34,6,2666
31,SD Eibar,LaLiga,right,183,Pedro LeÄÅn,Spain,W,2012-13,8,30,3,2363
32,SD Eibar,LaLiga,right,171,FabiÄn Orellana,Chile,W,2012-13,3,33,0,1776
23,SD Eibar,LaLiga,right,186,IvÄn Alejo,Spain,W,2012-13,,,,
26,SD Eibar,LaLiga,right,170,RubÄ˜n PeÄ§a,Spain,W,2012-13,0,5,0,205
28,SD Eibar,LaLiga,right,181,Sergi Enrich,Spain,CF,2012-13,0,25,3,720
28,SD Eibar,LaLiga,right,186,Kike,Spain,CF,2012-13,5,36,7,2979
33,SD Eibar,LaLiga,right,179,Charles,Brazil  Portugal,CF,2012-13,5,47,32,3757
21,Deportivo AlavÄ˜s,LaLiga,left,184,Alfonso Pedraza,Spain,W,2012-13,,,,
24,Deportivo AlavÄ˜s,LaLiga,right,184,Burgui,Spain,W,2012-13,1,21,3,1230
28,Deportivo AlavÄ˜s,LaLiga,right,178,Ibai GÄÅmez,Spain,W,2012-13,12,46,5,2472
29,Deportivo AlavÄ˜s,LaLiga,right,180,HernÄn PÄ˜rez,Paraguay  Spain,W,2012-13,2,16,2,889
22,Deportivo AlavÄ˜s,LaLiga,left,175,Munir El Haddadi,Spain  Morocco,CF,2012-13,,,,
25,Deportivo AlavÄ˜s,LaLiga,right,185,John Guidetti,Sweden,CF,2012-13,1,7,6,553
29,Deportivo AlavÄ˜s,LaLiga,left,184,Christian Santos,Venezuela  Germany,CF,2012-13,7,28,10,2297
25,Deportivo AlavÄ˜s,LaLiga,right,185,RubÄ˜n Sobrino,Spain,CF,2012-13,2,19,1,1180
19,Deportivo AlavÄ˜s,LaLiga,right,184,Ermedin Demirovic,Bosnia-Herzegovina  Germany,CF,2012-13,,,,
29,CD LeganÄ˜s,LaLiga,left,174,Alexander Szymanowski,Argentina  Poland,W,2012-13,6,39,10,2761
23,CD LeganÄ˜s,LaLiga,right,182,JosÄ˜ Naranjo,Spain,W,2012-13,0,5,1,349
30,CD LeganÄ˜s,LaLiga,right,179,Nordin Amrabat,Morocco  Netherlands,W,2012-13,10,43,1,1984
31,CD LeganÄ˜s,LaLiga,both,170,Nabil El Zhar,Morocco  France,W,2012-13,2,38,3,2136
30,CD LeganÄ˜s,LaLiga,left,176,Omar,Spain,W,2012-13,7,35,1,2447
29,CD LeganÄ˜s,LaLiga,right,174,Claudio Beauvue,Guadeloupe  France,CF,2012-13,4,38,8,2835
27,CD LeganÄ˜s,LaLiga,right,180,Miguel ÄÅngel Guerrero,Spain,CF,2012-13,4,26,9,1626
21,Getafe CF,LaLiga,right,173,Amath Ndiaye,Senegal,W,2012-13,,,,
27,Getafe CF,LaLiga,both,168,Dani Pacheco,Spain  Brazil,W,2012-13,11,33,9,2793
22,Getafe CF,LaLiga,right,176,ÄÅlvaro JimÄ˜nez,Spain,W,2012-13,,,,
31,Getafe CF,LaLiga,right,185,LoÄåc RÄ˜my,France  Martinique,CF,2012-13,1,37,9,2226
30,Getafe CF,LaLiga,right,171,ÄÅngel RodrÄßguez,Spain,CF,2012-13,1,35,7,1714
35,Getafe CF,LaLiga,right,188,Jorge Molina,Spain,CF,2012-13,4,38,14,2591
30,Levante UD,LaLiga,right,180,JosÄ˜ Luis Morales,Spain,W,2012-13,0,7,1,630
23,Levante UD,LaLiga,right,167,Fahad Al-Muwallad,Saudi Arabia,W,2012-13,0,10,3,797
23,Levante UD,LaLiga,right,174,Ivi,Spain,W,2012-13,,,,
23,Levante UD,LaLiga,right,178,Jason,Spain,W,2012-13,,,,
27,Levante UD,LaLiga,right,179,Roger MartÄß,Spain,CF,2012-13,1,25,8,1106
21,Levante UD,LaLiga,right,175,Emmanuel Boateng,Ghana,CF,2012-13,,,,
25,Levante UD,LaLiga,right,190,Alex AlegrÄßa,Spain,CF,2012-13,1,10,1,645
33,Levante UD,LaLiga,right,180,Giampaolo Pazzini,Italy,CF,2012-13,2,37,16,2166
26,Levante UD,LaLiga,right,182,Armando Sadiku,Albania  Bulgaria,CF,2012-13,5,35,22,3018
24,UD Las Palmas,LaLiga,right,173,Jairo Samperio,Spain,W,2012-13,2,40,10,2771
22,UD Las Palmas,LaLiga,right,180,HernÄn Toledo,Argentina,W,2012-13,,,,
22,UD Las Palmas,LaLiga,right,170,Nacho Gil,Spain,W,2012-13,,,,
35,UD Las Palmas,LaLiga,left,179,Momo,Spain,W,2012-13,7,47,5,3163
24,UD Las Palmas,LaLiga,right,181,Jonathan Calleri,Argentina  Italy,CF,2012-13,0,3,1,264
30,UD Las Palmas,LaLiga,right,182,Emmanuel Emenike,Nigeria,CF,2012-13,3,23,8,1616
24,UD Las Palmas,LaLiga,right,178,Imoh Ezekiel,Nigeria,CF,2012-13,10,34,16,2361
18,Ajax Amsterdam,Eredivisie,both,171,Justin Kluivert,Netherlands  Suriname,W,2012-13,,,,
24,Ajax Amsterdam,Eredivisie,both,168,Amin Younes,Germany  Lebanon,W,2012-13,4,24,2,1400
20,Ajax Amsterdam,Eredivisie,right,185,Dennis Johnsen,Norway,W,2012-13,,,,
21,Ajax Amsterdam,Eredivisie,left,175,David Neres,Brazil,W,2012-13,,,,
20,Ajax Amsterdam,Eredivisie,left,179,Vaclav Cerny,Czech Republic,W,2012-13,,,,
20,Ajax Amsterdam,Eredivisie,right,187,Kasper Dolberg,Denmark,CF,2012-13,,,,
20,Ajax Amsterdam,Eredivisie,right,184,Mateo Cassierra,Colombia,CF,2012-13,,,,
34,Ajax Amsterdam,Eredivisie,right,186,Klaas-Jan Huntelaar,Netherlands,CF,2012-13,6,35,16,2880
22,PSV Eindhoven,Eredivisie,right,175,Hirving Lozano,Mexico,W,2012-13,,,,
20,PSV Eindhoven,Eredivisie,right,178,Steven Bergwijn,Netherlands  Suriname,W,2012-13,,,,
22,PSV Eindhoven,Eredivisie,left,188,GastÄÅn Pereiro,Uruguay,W,2012-13,0,0,0,0
20,PSV Eindhoven,Eredivisie,right,177,Albert Gudmundsson,Iceland,W,2012-13,0,1,0,5
19,PSV Eindhoven,Eredivisie,right,179,Maximiliano Romero,Argentina,CF,2012-13,,,,
27,PSV Eindhoven,Eredivisie,right,188,Luuk de Jong,Netherlands,CF,2012-13,4,31,8,2023
20,PSV Eindhoven,Eredivisie,both,189,Sam Lammers,Netherlands,CF,2012-13,,,,
19,PSV Eindhoven U21,Eredivisie,right,,Donyell Malen,Netherlands,CF,2012-13,,,,
24,Feyenoord Rotterdam,Eredivisie,right,180,Sam Larsson,Sweden,W,2012-13,12,37,8,2701
23,Feyenoord Rotterdam,Eredivisie,right,178,Jean-Paul BoÄ©tius,Netherlands  Suriname,W,2012-13,5,26,6,1885
17,Feyenoord Rotterdam,Eredivisie,,167,Cheick Toure,Netherlands  Guinea,W,2012-13,,,,
26,Feyenoord Rotterdam,Eredivisie,left,182,Steven Berghuis,Netherlands,W,2012-13,2,44,5,2398
22,Feyenoord Rotterdam,Eredivisie,right,173,Bilal Basacikoglu,Turkey  Netherlands,W,2012-13,2,32,0,2321
27,Feyenoord Rotterdam,Eredivisie,right,190,Nicolai JÄìrgensen,Denmark,CF,2012-13,8,36,12,2508
34,Feyenoord Rotterdam,Eredivisie,left,183,Robin van Persie,Netherlands,CF,2012-13,15,48,30,3696
18,Feyenoord Rotterdam,Eredivisie,right,184,Dylan Vente,Netherlands,CF,2012-13,,,,
22,AZ Alkmaar,Eredivisie,right,183,Oussama Idrissi,Netherlands  Morocco,W,2012-13,,,,
24,AZ Alkmaar,Eredivisie,both,180,Alireza Jahanbakhsh,Iran,W,2012-13,0,28,8,2264
19,AZ Alkmaar,Eredivisie,left,182,Calvin Stengs,Netherlands  Suriname,W,2012-13,,,,
25,AZ Alkmaar,Eredivisie,right,197,Wout Weghorst,Netherlands,CF,2012-13,0,30,8,1878
20,AZ Alkmaar,Eredivisie,right,188,Ondè?ej MihÄlik,Czech Republic,CF,2012-13,,,,
17,AZ Alkmaar,Eredivisie,both,180,Myron Boadu,Netherlands  Ghana,CF,2012-13,,,,
20,AZ Alkmaar,Eredivisie,right,190,Ferdy Druijf,Netherlands,CF,2012-13,,,,
21,FC Utrecht,Eredivisie,right,185,Patrick Joosten,Netherlands,W,2012-13,,,,
